qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,1.5369768268753088,40.17814757882394,0.8775958163649669,100,3.658430653356263,0.7701743414000248,4.0,4.0,0.34156934664373706,3.2298256585999754,3.5713950052437125,862.4193668365479
4.0,1.5466283892192487,40.17814757882394,0.8846763201091479,100,3.704521700890139,0.782652116609655,4.0,4.0,0.295478299109861,3.217347883390345,3.512826182500206,845.451831817627
4.0,1.496045645912182,38.619706030181945,0.8910976292957671,100,3.751558900232249,0.7940549139645225,4.0,4.0,0.24844109976775108,3.2059450860354772,3.4543861858032283,157.73558616638184
4.0,1.50536039084235,38.619706030181945,0.8975033047476921,100,3.798420574092101,0.8055121116638834,4.0,4.0,0.2015794259078989,3.1944878883361167,3.3960673142440156,863.1265163421631
4.0,3.295117311117835,84.3882626851369,0.9220820996069025,100,3.8116908578122004,0.8502355146785269,4.0,4.0,0.1883091421877996,3.149764485321473,3.3380736275092726,159.55495834350586
4.0,3.300802032663677,84.3882626851369,0.9458395088362819,100,3.8248540272567495,0.8946124698667763,4.0,4.0,0.1751459727432505,3.105387530133224,3.2805335028764744,850.4910469055176
4.0,2.145617996983596,54.60655885746769,0.9575999810599921,100,3.859714587101511,0.9169976539023582,4.0,4.0,0.14028541289848917,3.0830023460976417,3.223287758996131,480.85737228393555
4.0,3.594737162407244,91.3967182047456,0.9829571230238661,100,3.867346481067188,0.9662048343936688,4.0,4.0,0.1326535189328122,3.0337951656063313,3.1664486845391435,152.55331993103027
3.9322372406852293,2.462918834343161,62.39755749231189,0.9969066562382642,100,3.8949781191273702,0.9938228257171012,4.0,4.0,0.10502188087262976,3.006177174282899,3.1111990551555286,300.82058906555176
3.7277962104633113,3.9450652077127515,100.0,1.02413078230684,100,3.890884905222228,1.0488440312990517,4.0,4.0,0.10911509477777193,2.9511559687009483,3.0602710634787202,627.0556449890137
4.0,3.7770584879277522,95.68972181048613,1.0489173782111294,100,3.8950841207057096,1.100227773818463,4.0,4.0,0.10491587929429036,2.899772226181537,3.0046881054758274,335.18028259277344
4.0,3.623260699465606,91.70985382698069,1.071579731040358,100,3.9021788268332696,1.1482831808599379,4.0,4.0,0.09782117316673045,2.851716819140062,2.9495379923067926,605.3452491760254
4.0,3.484131138323115,88.07873587000765,1.0923929972624078,100,3.9118918800159648,1.1933224876732316,4.0,4.0,0.08810811998403523,2.806677512326768,2.8947856323108034,152.6355743408203
4.0,3.1973005638561482,80.67203414346889,1.1102349130152749,100,3.927000118871985,1.2326215475991884,4.0,4.0,0.07299988112801481,2.767378452400812,2.8403783335288266,147.23515510559082
4.0,3.203398423960827,80.67203414346889,1.1276985439639224,100,3.941993475541766,1.2717039875626126,4.0,4.0,0.058006524458233955,2.7282960124373874,2.7863025368956214,825.9642124176025
