x1,qe,vc,x2,vs,diff1,diff2
4.67,2.5100000000000002,79.0,10.47,10.0,-0.26693315024886477,0.9448442061233209
10.53,3.18,83.0,1.71,53.0,-0.6624673410574751,1.3942273469807311
6.36,2.35,43.0,4.65,13.0,0.055133571637119516,0.5892097594457271
9.69,3.41,46.0,4.93,12.0,0.16680318731806132,0.8129807101821696
10.26,2.5,60.0,4.4,75.0,-0.4077869869653643,0.6762994451362871
11.44,2.57,62.0,0.21,92.0,-0.49315318130667585,1.049764772113751
5.13,0.05,36.0,8.870000000000001,38.0,-0.48172700044408234,0.13979920712070637
1.08,1.06,82.0,1.73,89.0,-0.17780772996406635,0.13133450350766673
0.33,1.2,72.0,2.16,98.0,0.09722094081688365,-0.15993482296393813
9.5,0.74,60.0,0.38,35.0,-0.8965717726583424,1.0199959174472357
4.95,2.5500000000000003,96.0,8.81,49.0,-0.5027456200269302,0.8274847201249127
1.87,1.68,44.0,10.290000000000001,64.0,0.14178735120640917,-0.2529403063086306
8.290000000000001,2.87,37.0,9.120000000000001,48.0,0.22649434018480363,0.2156320702519583
5.0600000000000005,1.61,31.0,12.61,86.0,0.06586972127759338,-0.9984296251659952
2.94,1.99,60.0,4.72,88.0,-0.020001229000681686,0.04282659706741132
4.93,2.62,56.0,4.07,0.0,0.04002795529337089,0.7790360362831787
11.57,0.9500000000000001,50.0,5.21,23.0,-0.7485652884561826,0.8711511716163276
1.84,1.6600000000000001,79.0,9.66,71.0,-0.13789938727886253,-0.0349412506129827
4.75,3.0100000000000002,74.0,1.12,32.0,-0.06391170894631681,0.8792527096276048
7.67,0.19,58.0,4.5,0.0,-0.9136926889724615,0.9668989898723632
12.870000000000001,2.1,88.0,5.15,85.0,-1.8377106482164507,1.236848020649127
2.5,0.6900000000000001,43.0,2.7600000000000002,25.0,-0.20054113118921935,0.28134016212808444
1.57,0.15,27.0,3.74,72.0,-0.15905545765729756,-0.22371150876402313
2.27,0.36,61.0,12.08,13.0,-0.43294270975268745,-0.08000000000000007
4.21,3.61,56.0,6.91,74.0,0.393239982804527,0.12756219631894794
10.950000000000001,2.91,23.0,12.38,66.0,0.42904883509603486,-0.5636282266757942
3.97,2.9,98.0,10.01,46.0,-0.2909148350674031,0.7295217451391629
1.36,1.94,96.0,3.02,28.0,-0.08230110812326563,0.5278290163599504
2.89,3.77,28.0,0.29,77.0,0.8593335785466754,0.17542681026798035
1.6300000000000001,2.02,49.0,2.98,35.0,0.22670668691641827,0.21502840602396
1.08,2.11,27.0,5.33,3.0,0.46605271443887464,0.17492324813696225
7.11,3.2,60.0,0.14,4.0,7.544442218243574e-05,0.9902484421131251
10.02,0.04,21.0,6.1000000000000005,89.0,-0.39878759436484223,-0.2688069593144444
10.88,2.35,79.0,4.8500000000000005,36.0,-0.8611676265768722,1.324808665559324
5.09,1.75,23.0,5.71,43.0,0.2190770346991071,0.007302456968821147
0.11,1.17,77.0,10.790000000000001,33.0,0.15482643851836148,-0.11841139214513774
1.48,3.7600000000000002,60.0,4.8100000000000005,35.0,0.6694667952563926,0.27171856671412
9.6,2.11,23.0,9.27,10.0,0.21152800292496643,0.3522915053689495
3.81,0.85,8.0,9.32,56.0,0.16696510860551994,-0.42914758720124446
4.33,1.6,48.0,8.55,22.0,-0.11986647100557057,0.4155345848841794
7.7,3.84,39.0,0.76,33.0,0.5124105561719707,0.584326892576996
12.84,0.41000000000000003,47.0,8.17,31.0,-1.5395134150956178,0.7249496130168627
9.66,2.5100000000000002,98.0,9.53,2.0,-1.0649233995186957,1.8183178203274686
4.38,0.46,65.0,2.24,27.0,-0.6723790608137064,0.6738050592702161
1.87,0.09,47.0,9.31,99.0,-0.35356305764623563,-0.5521855946982814
0.99,3.5700000000000003,78.0,3.0300000000000002,22.0,0.5646710106851758,0.4393055531422374
3.69,0.32,100.0,0.14,48.0,-1.0114992937230425,0.976096033161569
4.0200000000000005,1.9100000000000001,13.0,5.88,22.0,0.42967685495307517,0.0013348377120010468
