qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
4.0,3.644488930626503,4.192114397874632,6.0,-1.807885602125368,1017,-1.83,102,1.02,1019,-1.81,0,False
3.76,3.2474810855774057,4.224535213950098,6.0,-1.775464786049902,1019,-1.81,94,0.94,1022,-1.78,0,False
4.0,4.226833002025558,4.210133500856716,6.0,-1.789866499143284,1022,-1.78,109,1.09,1021,-1.79,0,False
4.0,3.1792830058808605,4.262032137581859,6.0,-1.7379678624181407,1021,-1.79,106,1.06,1026,-1.74,0,False
4.0,3.6833916178640274,4.282088762765245,6.0,-1.7179112372347554,1026,-1.74,105,1.05,1028,-1.72,0,False
3.64,3.682240005190293,4.279412947629248,6.0,-1.7205870523707523,1028,-1.72,91,0.91,1028,-1.72,0,False
3.64,3.6811191704448754,4.276808124199643,6.0,-1.7231918758003566,1028,-1.72,91,0.91,1028,-1.72,0,False
3.64,3.276286991633013,4.299813257745605,6.0,-1.7001867422543953,1028,-1.72,91,0.91,1030,-1.7,0,False
4.0,3.8608482840793323,4.308633210863839,6.0,-1.6913667891361612,1030,-1.7,101,1.01,1031,-1.69,0,False
3.96,3.7017965546761893,4.3249888465291235,6.0,-1.6750111534708765,1031,-1.69,99,0.99,1032,-1.68,0,False
3.92,3.3007096120067994,4.3641562615318685,6.0,-1.6358437384681315,1032,-1.68,98,0.98,1036,-1.64,0,False
4.0,3.8887816001144992,4.371204977405543,7.0,-2.628795022594457,936,-2.64,107,1.07,937,-2.63,0,False
3.64,3.3112211893579846,4.391997845104089,7.0,-2.608002154895911,937,-2.63,91,0.91,939,-2.61,0,False
4.0,3.9008082481322806,4.398284071659739,7.0,-2.601715928340261,939,-2.61,100,1.0,940,-2.6,0,False
4.0,3.3295238618490655,4.440684448321913,7.0,-2.559315551678087,940,-2.6,105,1.05,944,-2.56,0,False
3.96,3.9206652509040842,4.443177087117019,7.0,-2.556822912882981,944,-2.56,99,0.99,944,-2.56,0,False
4.0,3.345923619292178,4.484537941264875,7.0,-2.5154620587351246,944,-2.56,102,1.02,948,-2.52,0,False
4.0,3.9405261220368035,4.488306533642572,7.0,-2.5116934663574284,948,-2.52,101,1.01,949,-2.51,0,False
3.84,3.3586593933274416,4.518742853089125,7.0,-2.481257146910875,949,-2.51,96,0.96,952,-2.48,0,False
3.4,3.773879142008872,4.495066404498579,7.0,-2.504933595501421,952,-2.48,85,0.85,950,-2.5,0,False
3.96,3.3638650707590503,4.532760878038127,7.0,-2.467239121961873,950,-2.5,99,0.99,953,-2.47,0,False
4.0,3.9610697693548467,4.535227533760773,7.0,-2.4647724662392267,953,-2.47,106,1.06,954,-2.46,0,False
3.24,3.3619185585551823,4.5275185438922225,7.0,-2.4724814561077775,954,-2.46,81,0.81,953,-2.47,0,False
4.0,3.7929581744871514,4.540629135648706,7.0,-2.4593708643512944,953,-2.47,106,1.06,954,-2.46,0,False
3.24,3.3638775031005173,4.532796333949552,7.0,-2.467203666050448,954,-2.46,81,0.81,953,-2.47,0,False
4.0,3.961084835957705,4.535262034908358,7.0,-2.4647379650916417,953,-2.47,106,1.06,954,-2.46,0,False
3.24,3.3619310742759465,4.527552253999329,7.0,-2.472447746000671,954,-2.46,81,0.81,953,-2.47,0,False
4.0,3.792971891056506,4.540661976548016,7.0,-2.459338023451984,953,-2.47,106,1.06,954,-2.46,0,False
3.24,3.3638894097714545,4.532828422312516,7.0,-2.467171577687484,954,-2.46,81,0.81,953,-2.47,0,False
4.0,3.9610984715095383,4.535293259192629,7.0,-2.4647067408073706,953,-2.47,106,1.06,954,-2.46,0,False
3.24,3.2787336822967754,4.5328448362658404,7.0,-2.4671551637341596,954,-2.46,81,0.81,953,-2.47,0,False
4.0,3.795124832673208,4.545818129751651,7.0,-2.454181870248349,953,-2.47,106,1.06,955,-2.45,0,False
4.0,3.383127534253384,4.584821292697125,7.0,-2.415178707302875,955,-2.45,107,1.07,958,-2.42,0,False
3.72,3.9756273732812235,4.568625466301941,7.0,-2.431374533698059,958,-2.42,93,0.93,957,-2.43,0,False
4.0,3.307382679760319,4.6124035185468255,7.0,-2.3875964814531745,957,-2.43,109,1.09,961,-2.39,0,False
3.68,3.819164741159611,4.603592018556702,7.0,-2.396407981443298,961,-2.39,92,0.92,960,-2.4,0,False
3.88,3.401173846825078,4.6338649133121965,7.0,-2.3661350866878035,960,-2.4,97,0.97,963,-2.37,0,False
3.6,3.825786225981,4.6195691552296365,7.0,-2.3804308447703635,963,-2.37,90,0.9,962,-2.38,0,False
4.0,3.409615004633172,4.656894190952874,7.0,-2.3431058090471257,962,-2.38,101,1.01,966,-2.34,0,False
0.24,3.7894461438919502,4.432087968041621,7.0,-2.567912031958379,966,-2.34,6,0.06,943,-2.57,0,False
3.76,3.336337660828651,4.458879207175425,7.0,-2.541120792824575,943,-2.57,94,0.94,946,-2.54,0,False
3.92,3.9273808454287424,4.458411495592075,7.0,-2.541588504407925,946,-2.54,98,0.98,946,-2.54,0,False
1.64,3.9051615138317057,4.314828610251025,7.0,-2.685171389748975,946,-2.54,41,0.41,931,-2.69,0,False
4.0,4.511252278766558,4.282344133365836,7.0,-2.717655866634164,931,-2.69,104,1.04,928,-2.72,0,False
